Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
62984,4 BHK Ready to Occupy Flat for sale in Malibu Town Sohna Gurgaon Road,"This lovely 4 BHK Flat in Sohna Gurgaon Road, Gurgaon is up for sale. Situated in the excellent Malibu Town township. The flat enjoys a prime location. Your search ends here, because this flat for sale is among the best bargains in town. This ready to move flat in Sohna Gurgaon Road is available for a reasonable price of INR 2.90 Cr. You will find it semi-furnished. The prime landmarks near this property are good earth mall.",2.90 Cr ,11240.0,gurgaon,2358 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",Malibu Town,4,2,"2 Covered,",Freehold,,,
13859,2 BHK Ready to Occupy Flat for sale Nava Vadaj,"Creatively planned and constructed is a 2 BHK flat for sale in Nava Vadaj, Ahmedabad. This flat is available as a resale property. This ready to move flat in Nava Vadaj comes at an affordable price of INR 61 Lac. The flat is semi-furnished and makes for an ideal choice for any family.",61 Lac ,5648.0,ahmedabad,,Ready to Move,1 out of 4,Resale,Semi-Furnished,,,,2,2,,,1080 sqft,,
140042,1 BHK Ready to Occupy Flat for sale New Ashok Nagar,"This magnificent 1 BHK Flat is available for sale in New Ashok Nagar, New Delhi. This is a desirable apartment for resale. In New Ashok Nagar, this ready to move flat is available at an attractive price of INR 16.5 Lac. The flat is available in unfurnished condition. The flat is easily approachable because it is near to rajdhani medical center, main metro and meerut rail road, mayur vihar,.",16.5 Lac ,4074.0,new-delhi,,Ready to Move,3 out of 4,Resale,Unfurnished,North - East,,,1,1,,Freehold,45 sqyrd,,
94068,4 BHK Ready to Occupy Flat for sale in Kshitij Dum Dum,"At Kshitij, you can compete on the court, relax with your friends and family in the community areas or read your favourite book under the gentle shade of a tree. It is all about creating a property that is geographically centered around your life and your dayto day needs. You will be spoilt for choice after all, you deserve to be at the very centre of attention. Co Promoted",1.36 Cr ,6904.0,kolkata,1349 sqft,Ready to Move,,Resale,Unfurnished,South,"Garden/Park, Main Road",Kshitij,3,1,1 Covered,Freehold,,,
158439,3 BHK Ready to Occupy Flat for sale Shastri Nagar,"Have a look at this immaculate 3 BHK flat for sale in Shastri Nagar, Ghaziabad. This flat for resale is the perfect property for you! This ready to move property in Shastri Nagar is readily available within an affordable cost of INR 65 Lac. The flat is uniquely designed to enhance the living style. It is furnished, studded with all the basic facilities.",65 Lac ,6019.0,ghaziabad,,Ready to Move,1 out of 2,Resale,Furnished,,,,2,1,,,1080 sqft,,
180817,2 BHK Ready to Occupy Flat for sale Vasna Bhayli Main Road,"One can find this stunning 2 BHK flat for sale in Vasna Bhayli Main Road, Vadodara. This flat is available as a resale property. The ready to move flat in the prime area of Vasna Bhayli Main Road is available at a reasonable price of INR 32 Lac. It is a unfurnished apartment.",32 Lac ,3200.0,vadodara,550 sqft,Ready to Move,3 out of 4,Resale,Unfurnished,East,,,2,2,,,,,
146726,1 BHK Ready to Occupy Flat for sale Thane West,"This gorgeous 1 BHK Flat is available for sale in Thane West, Thane. This flat is available as a sale property. This ready to move flat in Thane West comes at an affordable price of INR 1.05 Cr. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",1.05 Cr ,15217.0,thane,490 sqft,Ready to Move,5 out of 7,New Property,Unfurnished,,,,1,1,,,,,
112639,2 BHK Ready to Occupy Flat for sale in One Rajarhat New Town,"The mentioned Price indicates only the Base Price. This excludes the cost for Parking, Extra Charges and Deposits, GST, Registration and Stamp Duty::::::::One Rajarhat::::New Tow, Action Area1::::G22 & G23, 3 Towers, 328 Flats, State Of The Art Multi Gym, Banquet Hall Cum Badminton Court, Infinity Pool, Synthetic Grass Tennis Court, Table Tennis Room, Massage Spa Room,::::::::Premium Flats Available, At Best Locations, With Best Architecture & Amenities::::::::The Property Price and Availability is subject to change without any prior notice at the discretion of the Seller",1.20 Cr ,9646.0,kolkata,740 sqft,Ready to Move,,New Property,Unfurnished,,Main Road,One Rajarhat,2,,1 Covered,Freehold,,,
179100,4 BHK Ready to Occupy Flat for sale in Imperial Blossom The Valley Of Gardens Vesu,"One can find this stunning 4 BHK flat for sale in Vesu, Surat. This flat is situated in the Imperial Blossom The Valley Of Gardens township and is equipped with premium facilities. This flat is available as a resale property. You can buy this ready to move flat in Vesu at a reasonable price of INR 2.48 Cr. This contemporary apartment is unfurnished.",2.48 Cr ,6098.0,surat,,Ready to Move,9 out of 11,Resale,Unfurnished,West,"Garden/Park, Pool, Main Road",Imperial Blossom The Valley Of Gardens,4,1,"2 Covered,",Co-operative Society,4067 sqft,,
151547,3 BHK Ready to Occupy Flat for sale Maya Garden,"Up for immediate sale is a 3 BHK apartment in Maya Garden, Chandigarh. Don't miss this bargain flat for sale. This flat all equipped with required facilities, is up for resale. You can buy this ready to move flat in Maya Garden at a reasonable price of INR 56 Lac.",56 Lac ,3024.0,chandigarh,,Ready to Move,4 out of 10,Resale,,,,,3,,,,1852 sqft,,
115403,1 BHK Ready to Occupy Flat for sale in Bhima Shankar Nerul,"This beautiful 1 BHK Flat is available for sale in Nerul, Navi Mumbai. It is housed in the well-planned Bhima Shankar township in an advantageous location. This flat is available as a resale property. This ready to move flat in Nerul is available for a reasonable price of INR 39 Lac. This contemporary apartment is unfurnished.",39 Lac ,,navi-mumbai,325 sqft,Ready to Move,4 out of 4,Resale,Unfurnished,,,Bhima Shankar,1,,,,,,
186009,3 BHK Ready to Occupy Flat for sale in Friends Enclave Kishanpura,"Carefully laid out in the prime location of Kishanpura in Zirakpur, this spacious 3 BHK flat on sale is a meticulously planned project. Situated in the Friends Enclave township, it has a prime location. This flat for resale is the perfect property for you! This apartment in one of the significant areas of Kishanpura is ready to move, and can be purchased at the best price of INR 46 Lac. The spacious apartment is furnished.",46 Lac ,3651.0,zirakpur,,Ready to Move,3 out of 4,Resale,Furnished,,,Friends Enclave,3,,,,140 sqyrd,,
58297,3 BHK Ready to Occupy Flat for sale in orchid petals Sohna Gurgaon Road,"Up for immediate sale is a 3 BHK apartment in Sohna Gurgaon Road, Gurgaon. Don't miss this bargain flat for sale. Strategically situated in the Orchid Petals site, it is placed at a prime location. This apartment is a property of choice for resale. This ready to move flat in Sohna Gurgaon Road can be taken at a very economical pricing of INR 1.75 Cr. It is unfurnished to accommodate your needs.",1.75 Cr ,9695.0,gurgaon,1605 sqft,Ready to Move,5 out of 11,Resale,Unfurnished,,,orchid petals,3,3,,,,,
54330,3 BHK Ready to Occupy Flat for sale in Godrej Aria Sector 79,"Have a look at this immaculate 3 BHK flat for sale in Sector 79, Gurgaon. Ideally situated in the Godrej Aria township it enjoys a prime location. This flat is an attractive property for resale. This ready to move flat is offered at an economical price of INR 1.25 Cr. The flat is unfurnished and makes for an ideal choice for any family.",1.25 Cr ,8367.0,gurgaon,,Ready to Move,3 out of 20,Resale,Unfurnished,East,,Godrej Aria,2,2,1 Covered,,1494 sqft,,
57088,3 BHK Ready to Occupy Flat for sale in DLF Skycourt Badha,"This lovely 3 BHK Flat in Badha, Gurgaon is up for sale. Ideally situated in the Dlf Skycourt township it enjoys a prime location. This apartment is a property of choice for resale. This ready to move property in Badha is readily available within an affordable cost of INR 1.55 Cr. Available in semi-furnished state, this flat is a great buy. st. xavier school , holliday inn are some of the key nearby landmarks.",1.55 Cr ,8031.0,gurgaon,1550 sqft,Ready to Move,5 out of 20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",DLF Skycourt,3,2,"1 Covered,",Freehold,,,
86673,3 BHK Ready to Occupy Flat for sale in Shree Ganesham Green Space Mansarovar,"One can find this stunning 3 BHK flat for sale in Mansarovar, Jaipur. Located in the Shree Ganesham Green Space township, the flat enjoys access to the prime spots in the city. This apartment is a property of choice for sale. The ready to move flat in the prime area of Mansarovar is available at a reasonable price of INR 55.1 Lac. This flat is an ideal choice because it is an semi-furnished apartment with all basic amenities. Some neighbouring landmarks are near buniyaad school engineers colony.",55.1 Lac ,3889.0,jaipur,,Ready to Move,4 out of 6,New Property,Semi-Furnished,East,Main Road,Shree Ganesham Green Space,3,2,1 Covered,Freehold,1417 sqft,,
